floor,floors_count,rooms_count,total_meters,price,underground,price_per_meter
3,6,1,52.0,20360000,False,391538
10,19,1,60.0,27500000,True,458333
3,9,1,55.0,18788500,True,341609
3,6,1,47.3,18120000,False,383087
17,20,2,65.0,16800000,False,258462
11,21,2,80.0,46400000,True,580000
4,20,1,27.3,8593358,True,314775
31,37,2,61.0,35490000,True,581803
2,4,1,29.45,10560000,False,358574
15,21,2,76.0,20000000,False,263158
22,22,1,19.4,8380000,True,431959
7,36,2,84.3,57000000,True,676157
1,12,2,54.8,14200000,True,259124
10,19,1,31.0,5247900,True,169287
2,8,2,112.8,36660000,True,325000
19,25,2,57.7,24914860,True,431800
3,8,2,61.0,35000000,True,573770
13,27,2,61.78,12089000,True,195678
2,16,2,49.4,6031500,False,122095
4,10,2,64.3,20897500,True,325000
4,14,2,53.0,11450000,False,216038
9,12,1,39.0,13500000,True,346154
3,7,2,112.0,85000000,True,758929
21,24,1,40.8,30000000,True,735294
2,25,2,39.4,6170040,False,156600
14,17,1,39.0,16000000,False,410256
1,5,1,35.3,2950000,False,83569
1,16,2,54.0,13800000,True,255556
2,6,2,58.0,18500000,True,318966
8,8,2,50.0,6500000,False,130000
21,22,1,39.0,11300000,True,289744
2,22,1,49.7,9825690,False,197700
4,22,2,73.9,38000000,True,514208
4,20,2,36.0,14260428,True,396123
5,23,2,60.5,7804500,False,129000
10,34,2,64.4,51000000,True,791925
5,6,1,43.0,26900000,True,625581
4,20,2,76.6,62046000,True,810000
3,4,1,36.32,13581865,False,373950
8,17,1,28.0,8950000,False,319643
2,4,2,70.03,12500026,False,178495
13,25,1,38.8,14800000,True,381443
15,18,1,38.5,16500000,True,428571
6,28,1,43.5,17182500,True,395000
17,22,1,43.5,19200000,True,441379
10,24,2,43.0,21000000,False,488372
16,33,2,42.4,21000000,True,495283
30,44,2,64.9,21500000,True,331279
2,12,2,57.0,24300000,True,426316
15,25,2,73.0,25500000,True,349315
20,21,2,61.9,31000000,True,500808
16,39,1,37.2,33428069,True,898604
4,4,2,75.7,35900000,True,474240
2,23,2,74.6,36000000,True,482574
5,17,2,49.0,36800000,True,751020
4,8,2,65.0,39900000,True,613846
14,15,2,59.2,43500000,True,734797
2,15,2,74.0,48000000,True,648649
5,22,2,100.0,77000000,True,770000
2,9,2,64.5,7617450,False,118100
22,22,1,14.3,8280000,True,579021
22,22,1,17.2,8780000,True,510465
22,22,1,19.4,8880000,True,457732
22,22,1,16.0,8880000,True,555000
22,22,1,17.2,9110000,True,529651
22,22,1,20.0,9770000,True,488500
9,25,2,85.3,14760200,True,173039
